Date Created,Number of Likes,Source of Tweet,Tweet,Location,Number of Retweets,#hashtags
2022-09-13 01:35:27+00:00,506,Twitter Web App,To the Roy family on @succession. I applaud your efforts to torture each other verbally. But it’s time to up your g… https://t.co/K8bzazejfc,,38,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'succession', 'name': 'Succession', 'id': 1329535801953292291, 'id_str': '1329535801953292291', 'indices': [21, 32]}], 'urls': [{'url': 'https://t.co/K8bzazejfc', 'expanded_url': 'https://twitter.com/i/web/status/1569499971476672514', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2022-09-13 01:04:32+00:00,436,Twitter Web App,Snaps to Miriam @MaiselTV on breaking the glass ceiling. Which is also an efficient way to create a makeshift weapo… https://t.co/kunuaHk86z,,24,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaiselTV', 'name': 'The Marvelous Mrs. Maisel', 'id': 847154816593752064, 'id_str': '847154816593752064', 'indices': [16, 25]}], 'urls': [{'url': 'https://t.co/kunuaHk86z', 'expanded_url': 'https://twitter.com/i/web/status/1569492190543638531', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2022-09-13 01:03:37+00:00,838,Twitter Web App,To the residents of @OnlyMurdersHulu. You had me at murder. #Emmys https://t.co/nNEu4F3Bfp,,81,"{'hashtags': [{'text': 'Emmys', 'indices': [60, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'OnlyMurdersHulu', 'name': 'Only Murders in the Building 🕵🏻\u200d♀️ 🕵🏻\u200d♂️', 'id': 1280260872997416965, 'id_str': '1280260872997416965', 'indices': [20, 36]}], 'urls': [{'url': 'https://t.co/nNEu4F3Bfp', 'expanded_url': 'https://twitter.com/azalben/status/1569490620539887618', 'display_url': 'twitter.com/azalben/status…', 'indices': [67, 90]}]}"
2022-09-13 00:31:48+00:00,192,Twitter Web App,@WEDN3SD4YS @squidgame I don't hate this look. #Emmys https://t.co/Jjwpvi52de,,6,"{'hashtags': [{'text': 'Emmys', 'indices': [47, 53]}], 'symbols': [], 'user_mentions': [{'screen_name': 'squidgame', 'name': 'Squid Game #오징어게임', 'id': 1480952457840631809, 'id_str': '1480952457840631809', 'indices': [12, 22]}], 'urls': [], 'media': [{'id': 1569483845669654529, 'id_str': '1569483845669654529', 'indices': [54, 77], 'media_url': 'http://pbs.twimg.com/media/FcftPf3akAEf3lb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FcftPf3akAEf3lb.jpg', 'url': 'https://t.co/Jjwpvi52de', 'display_url': 'pic.twitter.com/Jjwpvi52de', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1569483952196583426/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 876, 'h': 1290, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 815, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 462, 'h': 680, 'resize': 'fit'}}}]}"
2022-09-13 00:16:23+00:00,1282,Twitter Web App,"To the players of @squidgame. Kudos on your nominations. Next season I’m entering my brother, Pugsley. He’ll probab… https://t.co/p4B364Pwcg",,153,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'squidgame', 'name': 'Squid Game #오징어게임', 'id': 1480952457840631809, 'id_str': '1480952457840631809', 'indices': [18, 28]}], 'urls': [{'url': 'https://t.co/p4B364Pwcg', 'expanded_url': 'https://twitter.com/i/web/status/1569480074503802880', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2022-09-12 23:33:40+00:00,267,Twitter Web App,@TedLasso @succession @squidgame @stranger_things @onlymurdershulu @MaiselTV @BetterCallSaul.,,11,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TedLasso', 'name': 'Ted Lasso', 'id': 1103518614982819840, 'id_str': '1103518614982819840', 'indices': [0, 9]}, {'screen_name': 'succession', 'name': 'Succession', 'id': 1329535801953292291, 'id_str': '1329535801953292291', 'indices': [10, 21]}, {'screen_name': 'squidgame', 'name': 'Squid Game #오징어게임', 'id': 1480952457840631809, 'id_str': '1480952457840631809', 'indices': [22, 32]}, {'screen_name': 'Stranger_Things', 'name': 'Stranger Things', 'id': 3320478908, 'id_str': '3320478908', 'indices': [33, 49]}, {'screen_name': 'OnlyMurdersHulu', 'name': 'Only Murders in the Building 🕵🏻\u200d♀️ 🕵🏻\u200d♂️', 'id': 1280260872997416965, 'id_str': '1280260872997416965', 'indices': [50, 66]}, {'screen_name': 'MaiselTV', 'name': 'The Marvelous Mrs. Maisel', 'id': 847154816593752064, 'id_str': '847154816593752064', 'indices': [67, 76]}, {'screen_name': 'BetterCallSaul', 'name': 'Better Call Saul', 'id': 1855517916, 'id_str': '1855517916', 'indices': [77, 92]}], 'urls': []}"
2022-09-12 23:30:04+00:00,953,Twitter Web App,The faceless suits at @Netflix have asked me to “congratulate” tonight’s #Emmys nominees. I warned them.,,52,"{'hashtags': [{'text': 'Emmys', 'indices': [73, 79]}], 'symbols': [], 'user_mentions': [{'screen_name': 'netflix', 'name': 'Netflix', 'id': 16573941, 'id_str': '16573941', 'indices': [22, 30]}], 'urls': []}"
2022-09-12 23:00:31+00:00,87583,Twitter Media Studio,A word of advice for tonight’s #Emmys nominees: https://t.co/Ef2IL0rFlO,,10188,"{'hashtags': [{'text': 'Emmys', 'indices': [31, 37]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1569432565102317575, 'id_str': '1569432565102317575', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/FcfOzcCagAATT2r.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FcfOzcCagAATT2r.jpg', 'url': 'https://t.co/Ef2IL0rFlO', 'display_url': 'pic.twitter.com/Ef2IL0rFlO', 'expanded_url': 'https://twitter.com/wednesdayaddams/status/1569460979993387012/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1196, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 678, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 2042, 'resize': 'fit'}}}]}"
2022-08-17 21:12:16+00:00,1281,Twitter Web App,"""Interesting"" is one way to put it. Others: deranged, twisted and full of dark turns - like when the carousel brake… https://t.co/zDdZct9puH",,100,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zDdZct9puH', 'expanded_url': 'https://twitter.com/i/web/status/1560011651822170112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2022-08-17 17:34:49+00:00,1394,Twitter Web App,"Release date? No idea. I swear on Pugley's grave, which I've freshly dug. https://t.co/1ROSE6mvcs",,90,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1ROSE6mvcs', 'expanded_url': 'https://twitter.com/daminionbob/status/1559930354877845504', 'display_url': 'twitter.com/daminionbob/st…', 'indices': [74, 97]}]}"
